phylum_name;species_name;lat;lon;country;province_state;region;sector;exactsite
Arthropoda;Centropages typicus;58,7837;2,4195;North Sea;;;;
Arthropoda;Caprella linearis;44,956;-66,9278;Canada;New Brunswick;St. Andrews;Casco Bay Island;
Arthropoda;Caprella linearis;44,956;-66,9278;Canada;New Brunswick;St. Andrews;Casco Bay Island;
Arthropoda;Caprella linearis;45;-66,92;Canada;New Brunswick;St. Andrews;Simpsons Island, Bay of Fundy;rocky/sandy benthic habitat
Arthropoda;Caprella linearis;44,9468;-66,7333;Canada;New Brunswick;St. Andrews;The Wolves, Bay of Fundy;boat dive
Arthropoda;Caprella linearis;44,9468;-66,7333;Canada;New Brunswick;St. Andrews;The Wolves, Bay of Fundy;boat dive
Arthropoda;Caprella linearis;44,982;-67,031;Canada;New Brunswick;Deer Island;offshore;
Arthropoda;Caprella linearis;50,25;-66,7;Canada;Quebec;Cote-Nord;Baie Sainte-Marguerite;
Arthropoda;Centropages typicus;44,651;-63,568;Canada;Nova Scotia;Atlantic;Bedford Basin Halifax;planktonic marine zone using 250um net
Arthropoda;Centropages typicus;45,575;-61,352;Canada;Nova Scotia;Atlantic;Strait of Canso Hawksbury;planktonic marine zone using 250um net
Arthropoda;Centropages typicus;41,49;-71,428;United States;Rhode Island;Rhode Island,University of Rhode Island, Graduate School of Oceanography Pier;;
Arthropoda;Centropages typicus;41,243;-67,326;Atlantic Ocean;;;;
Arthropoda;Centropages typicus;43,7;-6,15;Spain;Continental Iberia;;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
Arthropoda;Centropages typicus;NA;NA;Atlantic Ocean;;Western Atlantic;;
