Pupa tessellata
Pusia ebenus
Pusillina inconspicua
Pyrosoma atlanticum
Pyrunculus hoernesi
Pyura tessellata
Quadrimaera inaequipes
Quadroppia quadricarinata
Radicipes gracilis
Ranella olearium
Raphitoma purpurea
Raspaciona aculeata
Regioscalpellum regium
Reptadeonella violacea
Reteporella mediterranea
Retusa mariei
Retusa robagliana
Retusa truncatula
Rhincalanus cornutus
Rhomboidella prideauxi
Rhopalonema velatum
Rhynchothorax anophtalmus
Rhynchothorax monnioti
Rhyssoplax canariensis
Rissoa guernei
Rissoa similis
Rissoella alexandrae
Rissoella diaphana
Rissoella ermelindoi
Rissoella globularis
Rissoella netoae
Ritterella glareosa
Rostanga rubra
Ruditapes decussatus
Runcina adriatica
Runcina coronata
Runcina hidalgoensis
Sabella pavonina
Sabella spallanzanii
Sarcodictyon catenatum
Sarcotragus fasciculatus
Sarcotragus spinosulus
Sarsia tubulosa
Savalia savaglia
Scaeurgus unicirrhus
Scalarispongia scalaris
Sceptrella insignis
Scheloribates laevigatus
Schizomavella (Schizomavella) cornuta
Schizophytum echinatum
Schizoporella cucullata
Schizoporella dunkeri
Schizoporella errata
Schizoporella unicornis
Schizotheca carmenae
Scissurella azorensis
Scolecithrix danae
Scoloplos armiger
Scrupocellaria scrupea
Scyllaea pelagica
Scyllarides latus
Scyllarus arctus
Scyllarus pygmaeus
Scyramathia carpenteri
Seba saundersii
Semicassis granulata
Semicassis undulata
Serejohyale spinidactylus
Sergestes atlanticus
Sertularella ellisii
Sertularella fusiformis
Sertularella gayi
Sertularella mediterranea
Sertularella pinnata
Sertularella polyzonias
Setia subvaricosa
Setia turriculata
Sibogita geometrica
Silhouetta uvacarpa
Similiphora similior
Sinezona cingulata
Skeneopsis planorbis
Smilium acutum
Solecurtus scopula
Solemya togata
Solenocera membranacea
Solenosmilia variabilis
Solmaris corona
Spatangus purpureus
Spatangus raschi
Sphaerechinus granularis
Sphaeroma serratum
Sphenotrochus (Sphenotrochus) andrewianus
Spio armata
Spirorbis (Spirorbis) marioni
Spirula spirula
Spondylus gaederopus
Spondylus senegalensis
